,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Kj,88.78152209701233,89.77195049499441,90.68362214904097,91.54601022658235,92.59278520102846,93.7086247284878,94.44627204537788,95.2590511534831,96.18294327347927,97.1173650975662,98.12158254035874,99.10894793834014,100.11741278431906,101.14228645940746,102.18042404721753,103.23020922501435,104.17225177384697,105.10801683718753,106.07454410533234,106.99348253359803,107.90648331004442,108.73267311907576,109.5112104405294,110.3236228049357,111.08783574192259,111.88591660202543,112.46308072163694,113.03015611807942,113.58761689075922,114.13501975391647,114.6723800990869,115.20058257250042,115.71874306001682,116.22686767423727,116.7253802371596,117.21551056892048
Kj,357.0885929654185,359.400394701968,361.1062192746111,364.4770124469547,369.297356198498,374.6641913597189,377.051660540174,380.3735583534484,384.2284887444719,388.5095483282444,392.9990727925395,397.7012176282791,402.57291862577136,407.577750435747,412.69133961177266,417.9013405802465,423.3112181666125,428.6811269703184,433.9512818494566,439.203670978185,444.41684870963746,449.66108001562924,454.8968335344308,460.05598413668287,465.2037452957215,470.27045454293693,475.41021214427764,480.4940473931911,485.52486539211833,490.49797420687463,495.4125079978827,500.2749995533385,505.07708712993946,509.8179110869088,514.5002300046771,519.1338551851842
Kj,166.7828138716644,168.10904399912997,169.19824370934157,170.7872379153427,172.94719603117608,175.322737938774,176.52412108093677,178.06774732813747,179.84749932913036,181.76924344259274,183.79931333404392,185.8875077429879,188.0429558765051,190.2513847149531,192.5032647803724,194.79379830694756,197.0879953177727,199.36797110419133,201.63492503152625,203.87125138833264,206.0935738409207,208.28121388737767,210.44412738635802,212.60345580292267,214.73759997891597,216.8657358415914,218.91294805678996,220.94516120146025,222.96386543867342,224.96747317117007,226.95593731171354,228.93225180985021,230.8933067292785,232.8390501612298,234.77093684996714,236.6934087746175
Kj,531.8011260565229,536.299488109099,540.0920806718411,545.1746986127333,551.9619895893851,559.393378052046,563.3183842768109,568.2317278014682,573.8839540290202,579.9265946933015,586.3266010827828,592.8668886161868,599.6085109268945,606.5089370590538,613.5397901505721,620.6868206818357,627.747032025662,634.7664712733213,641.7809957564308,648.6730061031107,655.524768629701,662.2111891728554,668.7951004743078,675.4025398627433,681.9067968241184,688.4265981022012,694.5582129794414,700.6523530139477,706.713783981494,712.7379927847045,718.7251048794132,724.684462225227,730.6069335191032,736.4926303149069,742.3462510630859,748.1816340529016
Kj,305.3934456016075,307.77284758760464,309.71290374915304,312.61980588023846,316.59133977168744,320.96550056012995,323.1491470273383,325.9770914122149,329.23980005086236,332.77333751518916,336.5033968047795,340.3482594993563,344.31926363905535,348.389897613947,352.54247975836523,356.76815119986566,361.02247068596296,365.25237656829484,369.4524189108453,373.60441271025536,377.7321244314475,381.81361320278245,385.86069364220054,389.8955674259395,393.89580229060874,397.87835416039576,401.764227641064,405.6295517423643,409.47724098051117,413.3043689128585,417.11092936690596,420.902736805277,424.6739512122251,428.424561975649,432.15746147610895,435.8813356840158
Kj,943.4409617515619,950.063578601049,955.2087810362875,964.1467171718747,976.6789140327742,990.5718842074251,997.0669121938759,1005.8259667949937,1015.9653910647199,1027.1078092848156,1038.826395958226,1051.0220105073522,1063.645121965279,1076.606436848425,1089.8464338060137,1103.3353771477923,1117.194739363854,1130.9760612536545,1144.568804655369,1158.0941400187637,1171.5411292507874,1185.0221912853247,1198.4868738039454,1211.8223006369558,1225.1415018172372,1238.3109289192303,1251.643481710924,1264.9195567521276,1278.1488910529206,1291.3213058638357,1304.4365806987976,1317.5144288747344,1330.5347074240142,1343.497200245655,1356.411663080237,1369.3078000630067
Kj,1708.7046448765827,1720.8844489557575,1730.4075311099646,1746.605460997999,1769.241310935368,1794.3118879072872,1806.136212817695,1821.9947140890122,1840.3442386672284,1860.4695382246737,1881.645188318377,1903.6531148556226,1926.4238302224128,1949.7970044089195,1973.6656982435973,1997.9763238264602,2022.8741175600962,2047.6240529556417,2072.055203983308,2096.3334579824104,2120.4645272388507,2144.5912203021203,2168.646785808813,2192.489991020985,2216.2603071243166,2239.785225454657,2263.410298800454,2286.9082082290934,2310.296254157584,2333.556441951658,2356.6884315157595,2379.7270404637875,2402.636688828136,2425.4170184767327,2448.085196175856,2470.693336166222
Kj,735.3449409794766,740.5235897435799,744.5524577607282,751.5198556063581,761.2822068392055,772.1024727256168,777.1704102736101,783.9969799290074,791.8986307450037,800.5783442715438,809.7077614966393,819.2061179906248,829.0366422996794,839.1298623929431,849.4394634213576,859.9422905824554,870.7262512415846,881.4487856237944,892.0263851880644,902.5486318084274,913.0093075653848,923.4904896358687,933.9550599735336,944.3207963583014,954.6698124501343,964.9043740166437,975.2478944695023,985.5448171984757,995.8026497285177,1006.0134475551591,1016.1769912733802,1026.3085067238126,1036.3923229217717,1046.4282172087428,1056.4236854993997,1066.4016523364362
Kj,474.92211074735144,478.22343826029186,480.7754959858874,485.27290039237516,491.59334460890955,498.6040048531454,501.86232842877354,506.2726030909817,511.37941624651273,516.9985715296217,522.9063694745444,529.0597467377577,535.4299780791052,541.971775835379,548.6549523778551,555.4644274641946,562.4727348535787,569.4415172767324,576.3110447199498,583.1500761254639,589.9494126617333,596.7734211621306,603.5928673266858,610.3431326529449,617.0889161133614,623.7550839300816,630.5225803394516,637.2615312938686,643.9768634317134,650.6633997241167,657.3210152316896,663.959698386634,670.569216891727,677.1494481049384,683.7053285871186,690.2519156817768
Kj,262.12535685804534,264.0748911357335,265.63147626550074,268.1211132671915,271.563726942508,275.3668219033185,277.20899265732965,279.639197526798,282.4473396198966,285.50920518500726,288.73575817295085,292.0764154356691,295.53007390395186,299.0730134750863,302.68941577546104,306.37135967656326,310.1132548709992,313.833527511884,317.5158142374234,321.1667108847301,324.796057687057,328.4072896569799,331.9995876431668,335.5696773724768,339.1206650420478,342.6444348191726,346.14048543677427,349.6187455370223,353.0818078078692,356.52702684042526,359.95437654622305,363.3690551421679,366.7658035843731,370.1445933672785,373.5080028902198,376.8638148471692
Kj,393.6022704046768,396.9443385647553,399.7650359498562,403.52750740293493,408.54690511764136,414.04097504347874,416.95008374315535,420.5862423689541,424.76866556444196,429.2372951001776,433.97086082607564,438.8060676046865,443.78945261914527,448.88961988474847,454.08561601268855,459.3669042393452,464.5778820351877,469.75804897534914,474.9360946934952,480.021089624607,485.0757790446665,490.003027247233,494.8510993152807,499.7180507939319,504.50515265324896,509.30559234380536,513.8034301452417,518.2713091237041,522.7127429788754,527.1244383063495,531.5065052133391,535.8658000208649,540.1956481289553,544.4961473496509,548.770747485352,553.0295677703557
Kj,358.44602236688723,360.89316833693687,362.7669525232825,366.1587408327773,370.9453951153081,376.2601386069065,378.703879382479,382.0339328166322,385.89199620516655,390.1469888563134,394.6178956952716,399.2816129040063,404.1112309560635,409.0720945170317,414.14110194402383,419.3067101358304,424.63908374550556,429.94113039705553,435.1622836905417,440.3648941576619,445.5370413996099,450.7376175546138,455.9393365349307,461.0831297573885,466.22806571536023,471.3071264223885,476.4870028459408,481.64448121072564,486.7832841321609,491.8994087229469,496.9927149787745,502.0707911664506,507.12577037022714,512.1575132314405,517.1697444318271,522.173914629381
Kj,767.4650285260644,772.5673593943384,776.4211644533754,783.6754266583446,793.9728813929377,805.4230722107117,810.6085023624894,817.7426770361551,826.0143229150613,835.1669490924091,844.7761933721268,854.8214107366853,865.2292436735127,875.9241726293172,886.8558693722189,897.9992238085057,909.5545883970888,921.0456116771976,932.3455425850373,943.6225831281745,954.834695222508,966.1441927482708,977.4758815531058,988.666514932867,999.8797687541355,1010.9337808881477,1022.3023644953096,1033.6277365954259,1044.9180135511042,1056.1643717816492,1067.3664552573127,1078.5408882841266,1089.6703563172246,1100.754507247389,1111.8014914743328,1122.8364834844645
Kj,5475.328708042944,5524.148737021509,5566.1170742184895,5618.5922960171165,5687.5669525307485,5762.770591433661,5804.0454126366,5854.553834384123,5912.54133510631,5973.975801032594,6039.196241841321,6105.439854516167,6173.626411518566,6243.343511939363,6314.31588567336,6386.405004308105,6456.631060944184,6526.4470266089975,6596.544072955382,6665.101790568147,6733.257142697734,6799.10332817093,6863.586281361912,6928.626667445269,6992.294067527028,7056.448818440091,7115.02448485976,7173.192327688151,7230.998976273593,7288.401960091365,7345.403374827745,7402.0935494827745,7458.385820161745,7514.282136637674,7569.828266541129,7625.1571113804985
Kj,596.1181395093577,599.8824986927035,602.6441716256842,608.2672778602223,616.3375758823935,625.3351858209184,629.2943736304443,634.8419745975099,641.2832726303653,648.4542976657403,655.9715366105024,663.8608256935128,672.0420821053112,680.4546236629764,689.0580169574699,697.8321077368321,707.0031007996267,716.1233306601276,725.0688051241572,734.0185230631414,742.9168300038818,751.9388571433881,761.0024657304263,769.9314719267912,778.9025943591228,787.7240347777837,796.9149930839092,806.0739501574682,815.2073882458661,824.308123806713,833.3758040418937,842.423791939877,851.438047166679,860.4182232360714,869.3708473370303,878.3162186045556
Kj,323.63869965936084,326.0341436141492,327.9422016567473,331.0153941947832,335.2702202916173,339.9719838977817,342.2423869254694,345.2432656364599,348.7113785487435,352.4954465787383,356.4823286859954,360.6120258582181,364.88179480733993,369.2622181527742,373.73367710311254,378.2863449113907,382.91719986274757,387.5211232371892,392.07656573361425,396.5942681842961,401.0851459844918,405.5559083983212,410.0042273036475,414.4236280885108,418.8203438975928,423.1819855973958,427.51467604316116,431.82490045479705,436.11586973079005,440.3843058382498,444.6301760226718,448.8599171910339,453.06701529777683,457.25143489462346,461.4163679568537,465.57144752672707
Kj,130.1862891293088,131.01808998919913,131.63347294369987,132.86212366158173,134.6206572012397,136.58014779245767,137.44838329821653,138.65958572453306,140.06542715693047,141.62828699338024,143.26725594573722,144.98589079923062,146.7679400687195,148.60029331278432,150.4742208905539,152.3853848817235,154.38051686749048,156.36524785537458,158.3132769879319,160.26208892744512,162.20030601273166,164.16515363042708,166.13967671629075,168.08626408716563,170.0428667456769,171.96800543011432,173.9753897228883,175.9782735496216,177.97815450373528,179.9735411347133,181.96443532906903,183.95385593347882,185.93880430806055,187.91928594434117,189.8968250277442,191.87600205409277
Kj,882.1655827175553,888.4886372201594,893.4483402517402,901.8131402604514,913.4857690351926,926.4097990071992,932.527090805055,940.7132933911896,950.1836675909349,960.5625251592385,971.4853652950638,982.8321417796573,994.5713138721991,1006.6205645083695,1018.9249984601017,1031.4571317196996,1044.281435253684,1057.0310367068569,1069.6210247740253,1082.1303158386756,1094.5650344933067,1106.993375785829,1119.3844726939708,1131.6705508490704,1143.9187440487892,1156.044351845068,1168.2151743318445,1180.3243497687251,1192.380719531329,1204.3749310209384,1216.306728699174,1228.193999860876,1240.0183122466713,1251.7793993835041,1263.4860455889443,1275.1650988395936
Kj,798.4100942737336,803.8087941064906,807.923133477605,815.4751290216865,826.1552394988697,838.0200056808496,843.4456327967289,850.8646448250609,859.462370404936,868.9559498566695,878.9283696113841,889.3390845130161,900.1222571123687,911.2002256785911,922.5212297539895,934.0594309260969,945.9907188332704,957.8551500486817,969.5327296721753,981.1760674809723,992.7520864610984,1004.4067177696272,1016.0726842118479,1027.6033259891801,1039.145633756467,1050.5342640805138,1062.190492117587,1073.8004889689987,1085.3726710660821,1096.898075258917,1108.376428629751,1119.8248724374664,1131.225741087151,1142.5787692035285,1153.8924088127526,1165.1925603436964
Kj,362.3237859051048,364.663671853424,366.4030253379921,369.8238112240741,374.7100746494344,380.1516288088182,382.57601003107743,385.94623483178185,389.8569832814942,394.19936186570607,398.7544074219998,403.52688085827435,408.474173548906,413.55994449555965,418.7599793586845,424.0622078264338,429.58594709251287,435.07924371474684,440.4732483338897,445.8643789650185,451.2246992152382,456.6482850933997,462.0913442782145,467.4591901168513,472.8468477777506,478.1502855984514,483.64800647874347,489.12662977605396,494.5900708736246,500.0340630688246,505.45843005620344,510.8712094668545,516.2640300447923,521.6367207983564,526.9932279988296,532.3457483575269
