,AZ,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,DZ,EZ,FZ,GZ,HZ,IZ,JA,JB,JC,KZ,LZ,MA,MB,MC,NZ,OZ,PZ,QA,QB,RZ,SZ,TZ,TOTAL
JA,175.288,0.011,226.444,18.184,40.844,31,99.278,42.491,46.319,75.155,59.883,25.753,47.932,163.273,57.85,160.146,83.793,299.255,1980.31,442.727,138.866,3755.155,761.771,2031.229,4003.641,333.205,2976.027,932.658,1033.419,1909.234,1516,824.314,366.563,255.9,1026.746,499.126,0,26439.789
JB,39.087,8.118,222.233,39.914,72.198,72,127.242,71.374,66.078,100.537,45.698,52.515,110.079,185.568,102.667,194.569,69.555,508.718,5114.657,825.183,448.288,409.844,8422.788,1363.567,5888.842,403.234,2473.549,833.645,301.179,2314.55,1302,486.299,591.424,99.24,533.153,269.73,0,34169.322
JC,1,1.086,517.369,59.288,148.969,195,244.077,87.984,145.139,202.798,289.278,70.984,142.609,325.469,169.585,354.674,146.924,708.165,2808.196,677.691,195.657,612.746,832.427,9240.046,6204.537,462.866,1868.271,674.712,285.438,1671.788,1309,276.298,325.911,203.07,238.42,323.402,0,32020.873
KZ,2714.431,116.61,2914.321,309.853,638.957,426,978.394,299.597,566.547,869.871,329.148,238.772,518.177,1039.748,568.68,692.237,1013.092,4883.812,14976.288,7346.963,1793.971,910.169,2244.608,839.414,73460.893,22688.835,9629.316,972.765,1020.6,4327.694,4320,857.633,2318.757,311.61,739.675,1523.857,0,169401.294
LZ,19.027,66.27,669.543,58.38,305.176,128,335.626,236.736,308.529,474.327,91.128,35.131,194.152,450.343,190.954,156.874,137.27,756.211,17394.802,2638.363,1845.196,719.431,932.969,1997.713,7065.855,8842.587,6570.472,1803.108,658.666,6139.163,2033,612.4,1398.304,1021.987,790.049,664.109,0,67741.851
MA,1441.5,174.837,5456.695,372.901,1593.106,1044,1490.148,973.73,2257.555,2941.198,809.146,501.129,1483.895,3509.908,1719.208,1862.166,1264.362,14892.438,24208.684,7799.74,3571.772,2867.163,2275.22,4595.01,8906.805,5860.016,65373.221,4943.558,1798.159,13285.591,4890,1701.099,2792.95,1660.867,1627.462,1570.163,0,203515.402
MB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2649.638,0,0,0,0,0,0,0,0,0,2649.638
MC,401.016,18.265,3112.88,231.346,324.59,140,1268.123,834.63,154.434,225.896,121.846,95.643,90.683,1109.557,484.249,189.702,139.4,605.468,5628.629,829.315,307.004,548.841,841.918,576.448,3255.906,187.994,1078.642,483.585,2226.41,1771.422,1724,632.433,854.781,547.463,819.44,286.133,0,32148.093
NZ,668.802,172.278,5977.758,525.506,1530.52,745.855,1584.589,804.527,2881.257,3893.89,659.402,854.287,1511.999,3466.307,1753.629,2088.552,3449.472,12237.501,23909.255,11304.486,2396.294,1876.903,2586.909,2968.373,14063.153,5504.019,13909.592,5940.609,3330.111,21444.775,9394,4488.792,3837.759,2572.803,2593.876,3132.49,0,180060.331
OZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PZ,149.303,26.553,521.205,61.673,127.214,155,369.868,166.648,311.14,332.739,169.807,133.218,243.791,829.756,402.52,524.727,118.219,763.485,2476.489,2589.209,246.961,171.843,602.491,812.907,895.858,122.604,1211.264,388.948,396.367,816.763,666,1481.823,2271.617,180.479,233.738,85.591,0,21057.816
QA,0,1.056,98.984,9.814,13.417,32,27.203,5.672,17.427,45.662,6.353,6.668,17.187,45.969,23.301,34.804,15.005,150.447,177.972,143.842,175.028,31.2,42.005,63.92,310.528,24.266,73.93,100.724,49.208,278.717,280,15.56,4582.896,268.267,37.286,9.773,0,7216.09
QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RZ,0,0,69.048,5.951,19.495,21,34.052,22.058,34.117,53.625,11.567,8.791,23.522,56.837,33.822,30.089,27.248,53.546,1227.191,278.131,417.624,98.787,56.795,153.612,7,126.826,422.887,84.871,107.008,499.905,389,199.99,58.651,124.084,2148.975,273.484,0,7179.588
SZ,84.191,0,501.002,33.833,58.598,161,182.35,47.667,123.82,121.051,47.863,60.2,167.065,549.598,327.108,198.465,114.18,526.839,1315.076,654.201,175.719,270.205,252.092,174.971,705.614,95.162,445.179,137.8,270.173,913.78,120,32.618,77.979,57.022,79.013,1581.46,0,10662.892
TZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCHTR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCAFAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL ,52972.261,2674.149,113850.719,11071.772,24136.715,32808.875,45274.088,13616.893,32245.991,54361.185,12933.911,13128.038,24539.426,95680.984,39914.122,68935.982,22270.294,163185.147,200783.315,104207.237,49285.179,27699.91,29430.465,32095.495,134079.305,55906.636,125974.023,29332.606,16591.991,76958.295,57546,24179.277,43370.482,15222.421,22384.114,16367.946,0,1885015.249
