,betaRj,epsilonRj,epsilonRjComputed,epsilonRjtarget,difference
0,0.24300619407863777,0.29811568928504956,0.2962432143432203,0.3,-1.2522618855932237
1,0.9467461616050664,0.9999915910806113,0.9999831818696487,1.0,-0.0016818130351259342
2,0.22700712261121297,0.2899538629928761,0.28024414287579535,0.3,-6.585285708068211
3,1.2085500643304319,1.3099734475044607,1.2617870845950143,1.36,-7.221537897425424
4,1.2938306108772775,1.353518370430609,1.34706763114186,1.36,-0.9509094748632497
5,1.0245133575735674,1.1229282889737329,1.0777503778381499,1.17,-7.884583090756417
6,1.252385109094666,1.332533712457735,1.3056221293592485,1.36,-3.9983728412317356
7,1.2762700376757181,1.3446670957419975,1.3295070579403003,1.36,-2.242128092624983
8,1.2872284100058826,1.3501973878567888,1.3404654302704648,1.36,-1.4363654212893577
9,0.9393295163777419,0.9962763355745502,0.9925665366423242,1.0,-0.7433463357675807
10,1.4519246655368505,1.5372390336752713,1.505161685801433,1.57,-4.129828929845039
11,1.2771860690485362,1.3451302548241082,1.3304230893131186,1.36,-2.1747728446236403
12,0.9445912612187077,0.9989135503687953,0.9978282814832902,1.0,-0.21717185167098307
13,1.8999561032213355,2.1424294235453285,1.953193123485918,2.35,-16.88539900059924
14,1.2137978727499443,1.3126947299459137,1.2670348930145268,1.36,-6.835669631284803
15,0.4180164367459406,0.4805353198645103,0.4712534570105229,0.49,-3.8258250998932835
16,1.0411743205322983,1.1120633139988136,1.0944113407968807,1.13,-3.1494388675326688
17,1.2150812376934959,1.2987930099422356,1.268318257958078,1.33,-4.6377249655580455
18,1.3456961058715668,1.813143754349458,1.3989331261361493,2.35,-40.47093080271706
19,1.837506553295438,2.0302268311389664,1.8907435735600207,2.18,-13.268643414677959
20,0.9212297635413818,1.0493557375911218,0.9744667838059642,1.13,-13.764001433100507
21,1.444661876960142,1.5335257637557875,1.4978988972247242,1.57,-4.592426928361517
22,1.4017020121078805,1.5113749629668856,1.4549390323724627,1.57,-7.3287240527093855
23,0.9442633310856597,0.9987493938255686,0.9975003513502421,1.0,-0.2499648649757935
24,0.9433356223384737,1.0611913518726135,0.9965726426030561,1.13,-11.807730743092371
25,0.3208585031958933,0.405711756914435,0.3740955234604757,0.44,-14.978290122619159
26,1.05170648535131,1.1174015217303697,1.1049435056158925,1.13,-2.2173888835493276
27,0.9467629806148461,0.9999999999997942,1.0000000008794285,1.0,8.794285299984494e-08
28,0.938181008399378,0.9956997682958068,0.9914180286639604,1.0,-0.8581971336039551
29,1.051449348307709,1.1172714961374943,1.1046863685722912,1.13,-2.240144374133514
30,0.9451931609062911,0.9992147820422252,0.9984301811708736,1.0,-0.15698188291264348
31,1.0558304954849016,1.1194848335750798,1.1090675157494838,1.13,-1.8524322345589455
32,1.0068974612617023,1.0945099192626697,1.0601344815262845,1.13,-6.182789245461537
33,1.0176582781427757,1.1000507658764918,1.0708952984073579,1.13,-5.230504565720534
34,1.4183727458034447,1.5200089903064333,1.471609766068027,1.57,-6.266893881017395
35,1.0294757643118062,1.1061037230371136,1.0827127845763889,1.13,-4.1847093295231
36,0.9402502066673099,0.9967382942238416,0.9934872269318922,1.0,-0.6512773068107824
